                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.2285,                0.83079,                 1.2124,                0.67753,                0.49658,                0.47969,                0.29214,                 1.5292,                 1.0522,                 1.5092,              0.0086584,              0.0086584,              0.0086584
                    122,                 1.2504,                0.85234,                 1.2237,                0.73893,                0.52787,                0.51948,                0.31124,                  1.537,                 1.0478,                 1.5101,               0.008637,               0.008637,               0.008637
                    123,                  1.222,                0.83599,                 1.2066,                 0.4941,                0.48724,                0.48774,                0.29989,                 1.5426,                 1.0104,                  1.491,              0.0086155,              0.0086155,              0.0086155
                    124,                 1.2343,                0.88904,                 1.2227,                0.66685,                0.49184,                0.46788,                0.27615,                 1.5483,                 1.0729,                 1.5122,              0.0085939,              0.0085939,              0.0085939
                    125,                 1.2344,                0.83622,                  1.205,                0.50088,                0.55713,                0.49992,                0.29643,                 1.5348,                  1.038,                 1.5004,              0.0085721,              0.0085721,              0.0085721
                    126,                 1.2363,                0.84246,                  1.216,                0.77178,                0.46822,                0.49983,                0.30866,                 1.5364,                 1.0414,                 1.5167,              0.0085502,              0.0085502,              0.0085502
                    127,                 1.2436,                0.83213,                 1.2074,                0.72981,                0.52197,                0.51398,                0.31803,                 1.5099,                 1.0424,                 1.4848,              0.0085281,              0.0085281,              0.0085281
                    128,                 1.2372,                0.82362,                 1.2122,                0.64332,                0.45274,                0.48281,                0.29769,                  1.515,                 1.0453,                 1.4872,              0.0085059,              0.0085059,              0.0085059
                    129,                 1.2345,                0.83487,                 1.2072,                 0.7703,                0.48228,                0.51776,                0.30777,                 1.5279,                 1.0358,                 1.4823,              0.0084836,              0.0084836,              0.0084836
                    130,                 1.2129,                0.81384,                 1.1945,                 0.7104,                0.49613,                0.48586,                0.29901,                 1.5433,                 1.0621,                 1.4972,              0.0084611,              0.0084611,              0.0084611
                    131,                 1.2237,                 0.8347,                 1.2047,                0.49025,                0.50665,                 0.4932,                0.31155,                 1.5385,                 1.0317,                 1.4913,              0.0084385,              0.0084385,              0.0084385
                    132,                 1.2074,                0.81573,                 1.1829,                0.83859,                0.46231,                0.51562,                0.30859,                 1.5113,                 1.0091,                 1.4834,              0.0084158,              0.0084158,              0.0084158
                    133,                 1.2062,                0.82106,                 1.1877,                0.84129,                0.43118,                0.48926,                0.29096,                 1.5206,                 1.0285,                 1.4803,              0.0083929,              0.0083929,              0.0083929
                    134,                 1.2189,                0.82406,                 1.1939,                0.67808,                0.50485,                0.46687,                0.28158,                 1.5048,                 1.0438,                 1.4792,              0.0083699,              0.0083699,              0.0083699
                    135,                 1.2309,                0.82037,                 1.1944,                0.68765,                0.50179,                0.46338,                0.25948,                 1.5203,                  1.073,                 1.4987,              0.0083468,              0.0083468,              0.0083468
                    136,                 1.2252,                0.81861,                  1.199,                0.50115,                0.50035,                 0.4989,                0.30401,                 1.5139,                 1.0215,                 1.4983,              0.0083235,              0.0083235,              0.0083235
                    137,                 1.2166,                0.82754,                 1.1998,                0.48972,                0.48292,                0.47584,                0.29545,                 1.5227,                 1.0061,                 1.4895,              0.0083001,              0.0083001,              0.0083001
                    138,                 1.2117,                0.82012,                 1.1982,                 0.7105,                0.49518,                0.48915,                0.30137,                 1.5184,                 1.0382,                 1.5065,              0.0082766,              0.0082766,              0.0082766
                    139,                 1.2029,                0.79505,                 1.1912,                0.74446,                0.48671,                 0.5089,                0.31093,                 1.5276,                 1.0036,                 1.4939,              0.0082529,              0.0082529,              0.0082529
                    140,                 1.2069,                0.81008,                 1.1922,                0.72347,                0.50543,                0.50038,                0.30667,                 1.5234,                 1.0414,                 1.4884,              0.0082292,              0.0082292,              0.0082292
